iter	RMSE
0	350631.5842
1	337092.0323
2	324948.8064
3	313820.334
4	303021.6279
5	292016.9734
6	282198.1278
7	273531.0472
8	264700.9426
9	257033.1045
10	249491.4418
11	241635.3938
12	234841.6712
13	228229.6262
14	222359.9575
15	216578.7925
16	210902.8885
17	205736.2091
18	201229.0486
19	196647.8356
20	192179.5814
21	188069.7657
22	184109.712
23	180901.2925
24	177656.8257
25	174255.3661
26	171273.3123
27	168280.2022
28	165491.2186
29	162712.0324
30	159365.4357
31	156744.6901
32	154139.8011
33	151857.5373
34	149726.9199
35	147725.32
36	145740.8617
37	144007.246
38	142245.1747
39	140650.476
40	138880.7214
41	136992.714
42	135441.5393
43	133917.4485
44	132603.175
45	131146.058
46	129882.1857
47	128345.0479
48	127267.2786
49	126260.6783
50	125247.6932
51	124206.8308
52	123088.1067
53	121816.0462
54	120560.9797
55	119620.5693
56	118643.8421
57	117844.0435
58	116935.3829
59	115913.2017
60	115213.3284
61	114411.9386
62	113599.5919
63	112884.4347
64	112211.0383
65	111615.0397
66	110952.0521
67	110376.5042
68	109802.2944
69	109171.9779
70	108567.251
71	107949.5362
72	107396.213
73	106810.5889
74	106372.1557
75	105781.968
76	105429.8067
77	105002.0785
78	104487.8048
79	104042.3658
80	103641.4392
81	103268.1617
82	102787.7135
83	102169.5205
84	101604.0179
85	101209.6454
86	100615.16
87	100124.3782
88	99754.31508
89	99438.19659
90	99106.25912
91	98691.46185
92	98252.76343
93	97954.7615
94	97620.54692
95	97345.65961
96	97013.98057
97	96744.3697
98	96468.98146
99	96122.48722
100	95770.7877
101	95531.9486
102	95185.77961
103	94872.24294
104	94592.3706
105	94255.65586
106	93921.47953
107	93522.50596
108	93142.82989
109	92944.31456
110	92711.69189
111	92463.04449
112	92232.83711
113	91977.95687
114	91688.13014
115	91532.37529
116	91409.87598
117	91262.17684
118	91085.76716
119	90861.29796
120	90626.42318
121	90394.45965
122	90088.81089
123	89903.91463
124	89523.6948
125	89185.708
126	88952.66771
127	88789.38436
128	88567.15204
129	88270.04185
130	88077.84856
131	87768.94271
132	87603.66096
133	87425.98071
134	87265.21172
135	87030.03933
136	86834.48179
137	86559.95579
138	86321.22785
139	86159.9379
140	85981.81255
141	85749.98452
142	85584.83585
143	85275.82201
144	85154.25497
145	85043.0558
146	84845.58944
147	84644.51157
148	84482.86289
149	84318.68449
150	84081.67237
151	83798.41626
152	83555.93441
153	83311.72094
154	83120.44848
155	82921.70798
156	82702.12712
157	82452.92979
158	82316.31691
159	82138.32583
160	81983.5399
161	81784.18335
162	81618.43685
163	81440.12879
164	81183.82713
165	80942.55978
166	80751.6953
167	80518.87345
168	80386.54301
169	80192.77356
170	79998.46473
171	79828.65531
172	79531.47711
173	79285.34042
174	79018.2805
175	78913.57555
176	78582.47567
177	78472.14637
178	78364.7823
179	78214.45245
180	78012.16822
181	77751.39596
182	77506.26255
183	77351.48617
184	77210.68235
185	77031.34647
186	76813.08369
187	76711.02893
188	76566.73622
189	76414.87998
190	76260.79203
191	76058.56275
192	75876.72081
193	75718.02097
194	75579.03258
195	75446.68291
196	75221.24726
197	75045.03033
198	74946.78792
199	74808.59426
200	74626.98118
201	74494.58973
202	74383.41696
203	74255.09862
204	73977.7038
205	73802.45217
206	73577.74022
207	73457.87153
208	73213.77965
209	73077.18979
210	72985.93114
211	72864.12427
212	72713.3951
213	72598.32102
214	72487.05541
215	72257.87948
216	72137.09263
217	71972.13896
218	71736.12583
219	71613.87222
220	71456.9738
221	71235.11486
222	71098.3531
223	70873.27344
224	70727.38145
225	70508.07877
226	70299.32868
227	70155.78306
228	69936.40507
229	69767.48391
230	69566.48804
231	69415.23125
232	69298.38769
233	69064.28234
234	68844.54298
235	68662.19138
236	68542.93009
237	68415.48108
238	68285.13222
239	68165.43445
240	68001.54206
241	67847.64893
242	67680.99178
243	67483.86168
244	67330.29866
245	67245.99936
246	67113.9116
247	66996.80878
248	66814.67654
249	66730.19767
250	66534.09234
251	66359.80426
252	66239.7921
253	66049.16297
254	65948.47099
255	65833.00023
256	65689.9396
257	65587.52839
258	65412.4626
259	65265.91848
260	65115.14939
261	64965.06211
262	64857.64526
263	64704.75778
264	64535.51654
265	64443.05876
266	64312.81059
267	64210.93514
268	64087.04666
269	64000.04591
270	63910.29321
271	63789.06914
272	63659.12325
273	63522.69252
274	63354.45241
275	63231.16563
276	63086.32147
277	62958.921
278	62865.17148
279	62796.90308
280	62720.77491
281	62561.43202
282	62415.38004
283	62309.31058
284	62173.55409
285	62088.06782
286	61943.29523
287	61832.01882
288	61713.82657
289	61568.33159
290	61431.68518
291	61323.22355
292	61148.62992
293	61034.41304
294	60889.9065
295	60735.8456
296	60662.60102
297	60541.80909
298	60426.03255
299	60308.34064
300	60238.97521
301	60153.66626
302	59995.82266
303	59918.21074
304	59762.51818
305	59695.12532
306	59586.08681
307	59527.91124
308	59364.77459
309	59264.96207
310	59205.05151
311	59116.80739
312	59020.26749
313	58870.00664
314	58762.79691
315	58658.42109
316	58572.12578
317	58465.91075
318	58333.23861
319	58202.72336
320	58081.1708
321	57943.26819
322	57812.74501
323	57735.63894
324	57654.331
325	57557.86772
326	57442.59297
327	57373.48963
328	57276.12251
329	57173.98239
330	57089.72051
331	56934.85911
332	56810.12039
333	56715.6955
334	56602.49458
335	56502.62024
336	56424.32115
337	56336.4762
338	56285.18951
339	56197.62841
340	56151.41361
341	55986.42427
342	55918.09681
343	55752.67155
344	55658.30752
345	55575.75148
346	55495.57502
347	55366.23946
348	55283.75036
349	55162.74246
350	55025.44582
351	54949.01014
352	54864.97408
353	54810.47952
354	54686.37924
355	54573.02572
356	54440.39088
357	54311.15018
358	54207.25656
359	54119.07632
360	54007.36415
361	53914.35175
362	53808.51805
363	53674.78002
364	53555.78171
365	53413.61648
366	53288.27014
367	53154.11891
368	53082.51157
369	52944.70218
370	52824.56223
371	52753.8986
372	52708.33781
373	52641.69732
374	52552.50534
375	52453.97306
376	52355.79442
377	52295.47266
378	52243.87665
379	52178.85268
380	52104.50426
381	52029.53596
382	51988.59967
383	51919.15426
384	51841.62904
385	51750.97533
386	51649.01257
387	51503.94584
388	51434.25295
389	51355.8156
390	51297.22019
391	51231.29061
392	51187.64014
393	51127.25699
394	51064.553
395	51020.10383
396	50923.65621
397	50866.44932
398	50761.99518
399	50681.68626
400	50606.86073
401	50541.47959
402	50480.3265
403	50420.45844
404	50372.07619
405	50279.64518
406	50192.75151
407	50095.82772
408	50002.92112
409	49959.30088
410	49854.94032
411	49796.75986
412	49712.59617
413	49613.81099
414	49478.33489
415	49366.30173
416	49296.46397
417	49227.66554
418	49163.10058
419	49106.13464
420	49044.08277
421	48996.45511
422	48911.60962
423	48812.17735
424	48756.22032
425	48671.08055
426	48575.68407
427	48465.40889
428	48344.40183
429	48280.32961
430	48186.05027
431	48127.90467
432	48070.91172
433	48002.87455
434	47946.80814
435	47879.73016
436	47807.50479
437	47711.51986
438	47636.77986
439	47558.55521
440	47453.62519
441	47384.54701
442	47326.14464
443	47250.26165
444	47197.2362
445	47146.64666
446	47094.23004
447	47032.86
448	46978.05659
449	46883.85397
450	46812.2124
451	46724.81844
452	46646.86391
453	46574.53109
454	46490.88165
455	46406.15401
456	46316.83594
457	46282.94075
458	46199.43355
459	46146.23969
460	46081.78403
461	46017.76506
462	45949.0005
463	45843.89298
464	45790.13915
465	45709.78394
466	45638.69759
467	45586.92946
468	45533.42244
469	45488.79977
470	45422.2552
471	45346.10452
472	45289.77139
473	45219.94683
474	45166.97911
475	45111.14159
476	45061.77451
477	44982.30226
478	44918.87132
479	44851.11011
480	44811.29288
481	44733.16691
482	44638.80696
483	44550.49432
484	44493.96721
485	44439.80958
486	44324.94694
487	44224.36637
488	44174.00823
489	44127.25143
490	44080.22347
491	44032.19054
492	43995.84923
493	43927.75974
494	43890.26047
495	43823.89246
496	43790.00702
497	43743.94809
498	43661.47791
499	43605.79652
500	43558.54977
501	43484.94003
502	43442.42191
503	43377.24762
504	43300.82108
505	43203.3273
506	43139.64917
507	43084.46971
508	43018.54196
509	42961.48013
510	42904.02091
511	42851.07435
512	42812.50541
513	42727.85516
514	42629.04979
515	42544.39185
516	42441.98804
517	42406.41691
518	42336.75162
519	42268.37209
520	42198.11159
521	42136.18477
522	42104.51649
523	42059.34098
524	42005.54368
525	41961.75518
526	41873.7803
527	41824.24467
528	41770.16997
529	41706.43575
530	41622.94486
531	41577.84291
532	41524.2694
533	41478.13206
534	41398.8508
535	41324.42111
536	41261.66263
537	41213.9456
538	41168.0224
539	41078.47506
540	41008.41487
541	40985.2862
542	40944.00878
543	40878.65483
544	40837.00262
545	40790.80325
546	40748.60286
547	40715.12701
548	40688.67029
549	40622.06673
550	40565.41586
551	40503.73017
552	40457.47815
553	40406.50329
554	40329.87764
555	40276.24687
556	40228.75313
557	40159.01497
558	40068.75845
559	40030.81301
560	39967.30276
561	39885.80589
562	39806.66985
563	39758.17325
564	39727.3454
565	39678.39651
566	39635.11952
567	39566.69409
568	39513.77341
569	39455.95899
570	39376.27478
571	39337.47788
572	39273.89099
573	39245.37907
574	39175.9146
575	39107.09079
576	39054.40253
577	38992.31433
578	38950.17468
579	38887.42829
580	38821.71373
581	38759.89935
582	38722.06598
583	38657.31949
584	38602.72466
585	38582.09883
586	38508.02093
587	38462.13856
588	38420.53068
589	38358.14951
590	38315.93763
591	38268.5499
592	38200.83821
593	38162.44999
594	38128.64546
595	38085.92282
596	38051.01698
597	38004.80202
598	37947.42131
599	37889.82621
600	37852.48554
601	37813.96554
602	37767.95552
603	37731.3391
604	37701.93395
605	37642.09792
606	37599.5902
607	37539.83901
608	37472.60921
609	37430.58405
610	37404.97361
611	37344.35565
612	37293.88099
613	37215.74634
614	37191.79262
615	37151.83677
616	37069.49589
617	36999.9067
618	36950.37391
619	36878.96129
620	36841.87938
621	36786.17361
622	36743.71305
623	36690.41477
624	36624.42925
625	36584.29163
626	36518.91664
627	36476.62908
628	36425.54222
629	36347.80652
630	36296.41433
631	36236.29548
632	36184.70675
633	36131.0357
634	36057.55418
635	36034.9713
636	35977.48438
637	35923.23588
638	35863.83543
639	35828.51478
640	35805.46171
641	35763.76462
642	35722.48638
643	35679.96785
644	35628.39219
645	35627.15368
646	35563.23642
647	35495.65284
648	35448.88697
649	35380.32319
650	35350.69993
651	35302.93973
652	35258.13126
653	35226.08277
654	35150.6731
655	35103.41196
656	35081.20277
657	35025.89263
658	35000.9039
659	34954.07823
660	34887.55983
661	34818.25767
662	34759.78607
663	34705.26366
664	34663.88376
665	34613.89103
666	34561.41977
667	34527.85997
668	34464.05186
669	34409.97843
670	34339.84714
671	34291.17108
672	34250.93083
673	34202.28037
