client_id,month,age,occupation,annual_income,monthly_salary,number_bank_accounts,number_credit_cards,interest_rate,number_loan,delay_from_due_date,number_delayed_payment,number_credit_inquiries,unpaid_debt,credit_utilization_ratio,credit_history_age,min_amount_payment,monthy_amount_invested,client_behaviour,monthly_balance
1fca70d44c,Февраль,23.0,Ученый,18662.93,1766.5433333333328,3,4,3.0,4.0,3,7.0,4.0,809.98,26.822619623699016,22 г. 1 м.,No,80.41529543900253,"Большие траты, малые платежи",312.16408867943665
1fca70d44c,Март,23.0,Ученый,18829.309999999998,,3,4,3.0,4.0,-1,,4.0,809.98,31.94496005538421,,No,118.28022162236736,"Малые траты, большие платежи",280.09916249607187
1fca70d44c,Апрель,,Ученый,18716.879999999997,,3,4,3.0,4.0,3,7.0,4.0,809.98,28.60935202206993,22 г. 3 м.,No,81.699521264648,"Малые траты, средние платежи",330.9398628537912
1fca70d44c,Май,23.0,Ученый,18659.0,,3,4,3.0,4.0,5,4.0,4.0,809.98,31.377861869582357,22 г. 4 м.,No,199.4580743910713,"Малые траты, малые платежи",220.60130972736786
1fca70d44c,Июнь,23.0,Ученый,18537.77,1739.5233333333329,3,4,3.0,4.0,6,,4.0,809.98,24.797346908844982,22 г. 5 м.,No,41.420153086217326,"Большие траты, средние платежи",338.4692310322218
1fca70d44c,Июль,23.0,Ученый,18760.01,,3,4,3.0,4.0,8,4.0,4.0,809.98,27.26225871052017,22 г. 6 м.,No,62.430172331195294,,332.6392117872438
1fca70d44c,Август,23.0,Ученый,18551.71,1743.473333333333,3,4,3.0,4.0,3,,4.0,809.98,22.53759303178384,22 г. 7 м.,No,178.3440674122349,"Малые траты, малые платежи",244.3253167062043
1fca70d44c,Сентябрь,23.0,Ученый,19005.89,1759.4033333333327,3,4,3.0,4.0,3,6.0,4.0,809.98,23.93379480196552,,No,24.785216509052056,"Большие траты, средние платежи",348.18416760938715
ae93769616,Февраль,34.0,,142182.86000000002,12128.949999999999,1,5,8.0,3.0,5,8.0,3.0,1303.01,28.616734823006844,17 г. 9 м.,No,168.413702679309,,1033.4059778669491
ae93769616,Март,34.0,Инженер,142995.26,12143.09,1,5,8.0,3.0,13,6.0,3.0,1303.01,41.70257342393906,17 г. 10 м.,No,232.86038375993544,"Большие траты, малые платежи",992.7392967863226
ae93769616,Апрель,34.0,,142940.80000000002,,1,5,8.0,3.0,8,7.0,,1303.01,26.519815391546494,17 г. 11 м.,No,,"Большие траты, малые платежи",706.1813674035551
ae93769616,Май,34.0,Инженер,143032.65000000002,12107.029999999999,1,5,8.0,3.0,8,5.0,3.0,1303.01,39.50164810812735,,No,825.2162699393922,"Малые траты, средние платежи",426.0834106068658
ae93769616,Июнь,34.0,,143141.26,12167.289999999999,1,5,8.0,3.0,8,5.0,3.0,1303.01,31.37614957421204,18 г. 1 м.,No,430.9475278803298,"Малые траты, большие платежи",805.1421526659284
ae93769616,Июль,34.0,Инженер,142961.80000000002,12184.05,1,5,8.0,,9,6.0,3.0,1303.01,39.78399345802119,18 г. 2 м.,No,257.80809942568976,"Большие траты, средние платежи",963.4115811205684
