client_id,month,age,occupation,annual_income,monthly_salary,number_bank_accounts,number_credit_cards,interest_rate,number_loan,delay_from_due_date,number_delayed_payment,number_credit_inquiries,unpaid_debt,credit_utilization_ratio,credit_history_age,min_amount_payment,monthy_amount_invested,client_behaviour,monthly_balance,credit_rating
5e261a2ce0,Февраль,,,34811.5,2977.666666666666,2,4,6.0,1.0,3,4.0,2.0,605.03,24.46403063758457,26 г. 7 м.,No,104.291825168246,"Малые траты, малые платежи",463.2206269252918,Обычный
5e261a2ce0,Март,28.0,Учитель,34231.28,2991.8666666666663,2,4,6.0,1.0,7,1.0,2.0,605.03,38.550848433956325,26 г. 8 м.,No,40.39123782853101,"Большие траты, большие платежи",478.94121426500675,Хороший
5e261a2ce0,Апрель,28.0,Учитель,,2979.9066666666663,2,1385,6.0,1.0,3,,2.0,605.03,33.22495078663659,26 г. 9 м.,No,58.51597569589465,"Большие траты, большие платежи",464.25647639764315,Обычный
5e261a2ce0,Май,28.0,Учитель,34376.729999999996,,2,4,6.0,1.0,3,,2.0,605.03,39.18265565546884,26 г. 10 м.,No,99.30622796053305,"Малые траты, средние платежи",457.6562241330048,Хороший
5e261a2ce0,Июнь,28.0,Учитель,34415.88,2958.436666666666,2,4,6.0,1.0,3,1.0,2.0,605.03,34.97789474709241,26 г. 11 м.,No,130.11542024292334,"Малые траты, малые платежи",443.4970318506144,Хороший
5e261a2ce0,Июль,28.0,Учитель,34773.439999999995,3025.796666666666,2,4,6.0,1.0,3,0.0,2.0,605.03,33.38101020065065,27 г. 0 м.,No,43.477190144355745,"Большие траты, большие платежи",481.335261949182,Хороший
5e261a2ce0,Август,28.0,Учитель,33918.88,,2,4,6.0,1.0,3,4.0,2.0,605.03,31.131701611553307,27 г. 1 м.,NM,70.10177420755677,"Большие траты, средние платежи",456.5206778859809,Хороший
5e261a2ce0,Сентябрь,28.0,Учитель,33934.969999999994,3005.0366666666664,2,4,6.0,1.0,4,4.0,2.0,605.03,32.933856293622235,27 г. 2 м.,No,218.90434353388733,"Малые траты, малые платежи",352.0481085596505,Хороший
dce20e08d4,Февраль,54.0,Предприниматель,29808.16,2600.130833333333,2,5,4.0,1.0,0,6.0,4.0,632.46,26.54422872407309,17 г. 3 м.,No,81.22885871073616,"Малые траты, большие платежи",425.3347729627723,Обычный
dce20e08d4,Март,54.0,Предприниматель,30329.809999999998,2601.9508333333333,2,5,4.0,1.0,5,3.0,4.0,632.46,35.279981779008544,17 г. 4 м.,No,124.88181990234848,"Малые траты, малые платежи",400.70181177115995,Обычный
dce20e08d4,Апрель,55.0,Предприниматель,29833.239999999998,2520.9908333333333,2,5,4.0,1.0,3,9.0,4.0,632.46,32.30116343180253,17 г. 5 м.,NM,83.40650880252501,"Большие траты, средние платежи",407.43712287098344,Обычный
dce20e08d4,Май,55.0,Предприниматель,,2516.400833333333,2,5,4.0,1.0,7,6.0,4.0,632.46,38.132348192570056,17 г. 6 м.,No,272.3340373956682,"Малые траты, малые платежи",254.1795942778403,Обычный
dce20e08d4,Июнь,55.0,Предприниматель,30211.739999999998,2529.4708333333333,2,5,4.0,1.0,4,6.0,4.0,632.46,41.15431654696947,17 г. 7 м.,No,,"Малые траты, большие платежи",356.7049155077638,Хороший
dce20e08d4,Июль,55.0,,30104.55,2600.3008333333332,2,5,4.0,1.0,5,6.0,4.0,632.46,27.4454217928553,17 г. 8 м.,No,84.95284817115969,"Большие траты, малые платежи",413.96078350234876,Обычный
dce20e08d4,Август,55.0,Предприниматель,29954.45,2522.320833333333,2,5,4.0,1.0,5,,4.0,632.46,26.05639527857161,17 г. 9 м.,No,71.28367488286933,"Малые траты, большие платежи",438.8299567906391,Обычный
dce20e08d4,Сентябрь,55.0,Предприниматель,30464.12,2554.6008333333334,2,5,4.0,,4,9.0,4.0,632.46,27.332514927554215,17 г. 10 м.,No,125.61725053231268,"Большие траты, малые платежи",378.59638114119576,Обычный
55f99d4113,Февраль,21.0,Разработчик,,2849.0991666666664,7,5,5.0,0.0,5,,4.0,943.86,39.79776423199917,30 г. 8 м.,Yes,276.72539431736266,,283.825522349304,Обычный
55f99d4113,Март,21.0,Разработчик,35116.14,,7,5,5.0,0.0,9,,4.0,943.86,27.02036025389693,30 г. 9 м.,NM,74.44364104999623,"Большие траты, средние платежи",451.96727561667035,Обычный
55f99d4113,Апрель,21.0,Разработчик,34566.5,2822.4991666666665,7,5,5.0,,5,12.0,4.0,943.86,23.462303036448013,30 г. 10 м.,Yes,173.13865100158367,"Малые траты, средние платежи",383.7722656650829,Обычный
55f99d4113,Май,21.0,Разработчик,35165.35,2784.8591666666666,7,5,5.0,0.0,1,15.0,4.0,943.86,28.924953778098622,30 г. 11 м.,Yes,96.78548508587444,"Большие траты, средние платежи",433.9954315807922,Обычный
55f99d4113,Июнь,21.0,Разработчик,35159.81,2821.9591666666665,7,5,5.0,0.0,9,17.0,4.0,943.86,41.77618715055719,31 г. 0 м.,Yes,62.72327834435009,"Большие траты, малые платежи",477.8476383223166,Обычный
55f99d4113,Июль,21.0,Разработчик,35164.64,,7,5,5.0,,5,15.0,4.0,943.86,29.217556326688413,31 г. 1 м.,Yes,37.64363788963997,"Большие траты, средние платежи",494.0672787770267,Обычный
55f99d4113,Август,21.0,Разработчик,35491.46,2755.1391666666664,7,5,5.0,0.0,10,15.0,4.0,943.86,26.263822692130155,31 г. 2 м.,Yes,181.0119827315892,"Малые траты, малые платежи",388.32893393507743,Обычный
55f99d4113,Сентябрь,21.0,Разработчик,35229.53,2828.3191666666667,7,5,5.0,,1,15.0,4.0,943.86,25.86292247432155,31 г. 3 м.,Yes,181.33090096186916,"Большие траты, малые платежи",360.50001570479753,Обычный
5440d9265a,Февраль,31.0,Юрист,73287.97,,4,1288,8.0,0.0,12,10.0,2.0,548.2,39.96268501363903,,No,98.67440994166124,"Большие траты, большие платежи",734.1660900583389,Хороший
5440d9265a,Март,31.0,,73365.49,5963.525000000001,4,5,8.0,0.0,8,7.0,2.0,548.2,42.76986440325711,32 г. 0 м.,NM,172.93921446875606,"Малые траты, средние платежи",702.171285531244,Хороший
5440d9265a,Апрель,31.0,Юрист,73626.09000000001,5916.745000000001,4,5,8.0,0.0,8,7.0,2.0,548.2,40.7121865299296,,No,150.05973429800815,"Большие траты, средние платежи",696.480765701992,Хороший
5440d9265a,Май,31.0,Юрист,72988.69,5967.635000000001,4,5,8.0,0.0,8,7.0,2.0,548.2,30.201657705809275,32 г. 2 м.,No,618.2023912505837,"Малые траты, малые платежи",262.45810874941657,Хороший
5440d9265a,Июнь,31.0,Юрист,73595.23000000001,5899.025000000001,4,5,,0.0,11,7.0,2.0,548.2,26.33331042687101,32 г. 3 м.,No,177.95183568608738,"Малые траты, большие платежи",684.6786643139128,Хороший
5440d9265a,Июль,31.0,Юрист,73599.1,5933.495000000001,4,5,8.0,0.0,7,7.0,2.0,548.2,35.2754365244368,,No,235.79032503182026,"Малые траты, большие платежи",628.1101749681799,Хороший
5440d9265a,Август,31.0,Юрист,73138.84000000001,5979.5650000000005,4,5,8.0,0.0,8,4.0,2.0,548.2,36.62479126183764,32 г. 5 м.,No,348.5093995125948,"Большие траты, малые платежи",507.23110048740534,Обычный
5440d9265a,Сентябрь,31.0,Юрист,73057.39,5918.0650000000005,4,5,8.0,0.0,8,7.0,,548.2,31.58098966831768,32 г. 6 м.,No,42.63559025189578,,788.7749097481042,Хороший
951c4a184e,Февраль,,Медиаменеджер,,,8,7,15.0,3.0,30,11.0,5.0,1704.18,24.44806274625548,,NM,162.4410091967751,"Малые траты, большие платежи",297.3721581311523,Плохой
951c4a184e,Март,30.0,Медиаменеджер,33334.67,2525.785,8,7,15.0,3.0,30,14.0,5.0,1704.18,35.171160021263034,14 г. 8 м.,Yes,38.4369827577036,"Большие траты, большие платежи",386.51618457022374,Плохой
951c4a184e,Апрель,,Медиаменеджер,33547.689999999995,,8,7,15.0,3.0,31,14.0,5.0,1704.18,35.11155247196594,14 г. 9 м.,Yes,199.7207654954979,"Малые траты, большие платежи",259.2124018324295,Плохой
951c4a184e,Май,30.0,,33325.81,2581.095,8,7,15.0,3.0,34,14.0,5.0,1704.18,29.76215930632113,14 г. 10 м.,Yes,220.55219192916718,"Малые траты, малые платежи",254.25097539876018,Плохой
951c4a184e,Июнь,30.0,,33240.35,2521.345,8,7,15.0,3.0,27,14.0,5.0,1704.18,30.206214222610893,14 г. 11 м.,Yes,,"Большие траты, большие платежи",396.2783547370202,Обычный
951c4a184e,Июль,30.0,Медиаменеджер,33191.759999999995,2552.5249999999996,8,7,15.0,,30,14.0,5.0,1704.18,31.17087232096111,15 г. 0 м.,Yes,,,404.7243660782873,Обычный
951c4a184e,Август,30.0,Медиаменеджер,33737.71,,8,7,15.0,3.0,30,11.0,5.0,1704.18,38.438505084064886,15 г. 1 м.,NM,55.45978063925893,"Большие траты, малые платежи",388.48338668866836,Обычный
951c4a184e,Сентябрь,30.0,Медиаменеджер,33219.56,2552.535,8,7,15.0,3.0,30,14.0,9.0,1704.18,33.82348834412097,15 г. 2 м.,Yes,29.32636371091455,"Большие траты, средние платежи",407.02680361701283,Плохой
07b36306fa,Февраль,32.0,Инженер,88216.19,7233.026666666668,3,6,1.0,2.0,-1,0.0,3.0,950.36,28.210617211444603,25 г. 5 м.,No,98.93176402067013,"Большие траты, большие платежи",727.663531674279,Обычный
07b36306fa,Март,,Инженер,88569.54000000001,7228.8566666666675,3,6,,2.0,4,2.0,3.0,950.36,41.036168282350594,25 г. 6 м.,NM,157.174788304235,"Большие траты, большие платежи",673.5905073907143,Хороший
07b36306fa,Апрель,33.0,Инженер,87958.81000000001,7178.156666666668,3,6,1.0,2.0,4,0.0,3.0,950.36,34.67019437922772,25 г. 7 м.,No,298.1889114624804,"Большие траты, средние платежи",539.9763842324687,Обычный
07b36306fa,Май,33.0,Инженер,88307.65000000001,7261.636666666667,3,6,1.0,2.0,4,2.0,3.0,950.36,31.82853557484664,25 г. 8 м.,No,,"Малые траты, малые платежи",86.63611982901625,Обычный
07b36306fa,Июнь,33.0,Инженер,87772.04000000001,7211.676666666667,3,6,1.0,2.0,4,2.0,3.0,950.36,34.702836927947075,25 г. 9 м.,No,279.61862207772435,"Большие траты, средние платежи",553.3666736172248,Хороший
07b36306fa,Июль,33.0,Инженер,88356.57,7224.526666666668,3,6,1.0,2.0,4,0.0,3.0,950.36,38.32363895436978,25 г. 10 м.,No,686.1262165951837,"Малые траты, малые платежи",195.36907909976551,Хороший
07b36306fa,Август,33.0,Инженер,,,3,6,1.0,,4,2.0,3.0,950.36,25.97917280396149,25 г. 11 м.,No,164.0748218779106,"Большие траты, большие платежи",661.0704738170386,Хороший
07b36306fa,Сентябрь,33.0,Инженер,87823.43000000001,7190.386666666667,3,6,1.0,2.0,-1,,3.0,950.36,30.87079911079545,26 г. 0 м.,No,98.44195128223792,"Большие траты, большие платежи",731.7133444127112,Хороший
2149db8c87,Февраль,35.0,Предприниматель,53978.670000000006,4757.02,6,4,14.0,3.0,10,8.0,3.0,179.22,25.64924606724341,26 г. 10 м.,Yes,243.73543739209438,"Малые траты, большие платежи",372.04048018698535,Обычный
2149db8c87,Март,,Предприниматель,53412.270000000004,4724.05,6,4,14.0,3.0,10,10.0,3.0,179.22,29.40877527612245,26 г. 11 м.,Yes,142.75186411942676,"Большие траты, средние платежи",451.41405345965285,Обычный
2149db8c87,Апрель,35.0,Предприниматель,,,6,4,14.0,3.0,15,11.0,3.0,179.22,31.25892846912917,27 г. 0 м.,NM,33.349568589344514,"Большие траты, большие платежи",553.6563489897351,Обычный
2149db8c87,Май,35.0,Предприниматель,53396.86,4728.39,6,4,14.0,3.0,10,7.0,3.0,179.22,27.19258740532601,27 г. 1 м.,Yes,494.8422277056662,"Малые траты, малые платежи",147.43368987341347,Обычный
2149db8c87,Июнь,35.0,Предприниматель,54069.98,4699.34,6,4,14.0,3.0,10,8.0,3.0,179.22,34.59532445612005,27 г. 2 м.,Yes,233.1184454152274,"Малые траты, малые платежи",403.08747216385234,Обычный
2149db8c87,Июль,35.0,Предприниматель,53662.170000000006,4719.39,6,4,14.0,3.0,10,8.0,3.0,179.22,23.195025404792624,27 г. 3 м.,Yes,635.1465605054178,"Малые траты, малые платежи",7.129357073661937,Обычный
2149db8c87,Август,36.0,Предприниматель,54127.350000000006,4755.27,6,4,14.0,3.0,10,8.0,7.0,179.22,35.112531991297786,27 г. 4 м.,Yes,158.11240346721374,"Малые траты, большие платежи",460.3535141118658,Обычный
2149db8c87,Сентябрь,36.0,Предприниматель,54354.350000000006,4702.41,6,4,14.0,3.0,10,8.0,7.0,179.22,32.8788050668308,27 г. 5 м.,Yes,495.1178978821161,"Малые траты, малые платежи",147.15801969696355,Обычный
a0888ce2aa,Февраль,39.0,Руководитель,7950.295,,6,5,32.0,7.0,21,9.0,6.0,2602.69,24.523163853918167,8 г. 11 м.,Yes,13.066209919444336,"Малые траты, большие платежи",266.6684679091685,Плохой
