index,credit_rating
0,Хороший
1,Хороший
2,Хороший
3,Хороший
4,Хороший
5,Хороший
6,Хороший
7,Хороший
16,Обычный
17,Хороший
18,Хороший
19,Хороший
20,Хороший
21,Хороший
22,Хороший
23,Хороший
48,Хороший
49,Хороший
50,Хороший
51,Хороший
52,Хороший
53,Хороший
54,Хороший
55,Хороший
64,Обычный
65,Хороший
66,Хороший
67,Обычный
68,Хороший
69,Обычный
70,Хороший
71,Хороший
72,Хороший
73,Хороший
74,Хороший
75,Хороший
76,Хороший
77,Хороший
78,Обычный
79,Хороший
80,Обычный
81,Обычный
82,Обычный
83,Обычный
84,Обычный
85,Обычный
86,Обычный
87,Обычный
120,Обычный
121,Обычный
122,Обычный
123,Обычный
124,Обычный
125,Обычный
126,Обычный
127,Обычный
136,Обычный
137,Обычный
138,Обычный
139,Обычный
140,Плохой
141,Плохой
142,Обычный
143,Плохой
144,Обычный
145,Обычный
146,Обычный
147,Обычный
148,Обычный
149,Обычный
150,Обычный
151,Обычный
168,Плохой
169,Плохой
170,Плохой
171,Плохой
172,Плохой
173,Плохой
174,Плохой
175,Плохой
176,Хороший
177,Хороший
178,Хороший
179,Хороший
180,Хороший
181,Хороший
182,Хороший
183,Хороший
192,Плохой
193,Плохой
194,Плохой
195,Плохой
196,Плохой
197,Плохой
198,Плохой
199,Плохой
200,Обычный
201,Обычный
202,Обычный
203,Обычный
204,Обычный
205,Обычный
206,Обычный
207,Обычный
224,Обычный
225,Обычный
226,Обычный
227,Обычный
228,Обычный
229,Обычный
230,Обычный
231,Обычный
240,Хороший
241,Хороший
242,Хороший
243,Хороший
244,Обычный
245,Хороший
246,Хороший
247,Хороший
248,Плохой
249,Плохой
250,Плохой
251,Плохой
252,Плохой
253,Плохой
254,Плохой
255,Плохой
256,Обычный
257,Обычный
258,Обычный
259,Обычный
260,Обычный
261,Обычный
262,Обычный
263,Обычный
264,Обычный
265,Обычный
266,Обычный
267,Обычный
268,Обычный
269,Обычный
270,Обычный
271,Обычный
288,Обычный
289,Обычный
290,Обычный
291,Плохой
292,Плохой
293,Плохой
294,Плохой
295,Плохой
304,Плохой
305,Плохой
306,Плохой
307,Плохой
308,Плохой
309,Плохой
310,Плохой
311,Плохой
312,Обычный
313,Обычный
314,Обычный
315,Обычный
316,Обычный
317,Обычный
318,Обычный
319,Обычный
320,Обычный
321,Обычный
322,Обычный
323,Обычный
324,Обычный
325,Обычный
326,Обычный
327,Обычный
368,Плохой
369,Плохой
370,Плохой
371,Плохой
372,Обычный
373,Плохой
374,Плохой
375,Плохой
400,Плохой
401,Плохой
402,Плохой
403,Плохой
404,Плохой
405,Плохой
406,Плохой
407,Плохой
416,Обычный
417,Обычный
418,Обычный
419,Обычный
420,Обычный
421,Обычный
422,Обычный
423,Обычный
424,Обычный
425,Хороший
426,Хороший
427,Обычный
428,Обычный
429,Обычный
430,Обычный
431,Обычный
448,Обычный
449,Обычный
450,Обычный
451,Обычный
452,Обычный
453,Обычный
454,Обычный
455,Обычный
504,Хороший
505,Хороший
506,Хороший
507,Хороший
508,Хороший
509,Хороший
510,Хороший
511,Обычный
536,Плохой
537,Плохой
538,Плохой
539,Плохой
540,Плохой
541,Плохой
542,Плохой
543,Плохой
600,Плохой
601,Плохой
602,Плохой
603,Плохой
604,Плохой
605,Плохой
606,Плохой
607,Плохой
640,Обычный
641,Обычный
642,Обычный
643,Обычный
644,Обычный
645,Обычный
646,Обычный
647,Обычный
672,Обычный
673,Обычный
674,Обычный
675,Обычный
676,Обычный
677,Обычный
678,Обычный
679,Обычный
704,Обычный
705,Обычный
706,Обычный
707,Обычный
708,Обычный
709,Обычный
710,Обычный
711,Обычный
712,Хороший
713,Обычный
714,Хороший
715,Хороший
716,Хороший
717,Хороший
718,Хороший
719,Обычный
760,Обычный
761,Обычный
762,Обычный
763,Плохой
764,Плохой
765,Плохой
766,Плохой
767,Плохой
784,Обычный
785,Обычный
786,Обычный
787,Обычный
788,Обычный
789,Обычный
790,Обычный
791,Обычный
808,Обычный
809,Обычный
810,Обычный
811,Обычный
812,Обычный
813,Обычный
814,Обычный
815,Обычный
816,Плохой
817,Плохой
818,Плохой
819,Плохой
820,Плохой
821,Плохой
822,Плохой
823,Плохой
824,Обычный
825,Обычный
826,Обычный
827,Обычный
828,Обычный
829,Обычный
830,Обычный
831,Обычный
848,Обычный
849,Обычный
850,Обычный
851,Обычный
852,Обычный
853,Обычный
854,Обычный
855,Обычный
856,Хороший
857,Обычный
858,Обычный
859,Хороший
860,Хороший
861,Хороший
862,Обычный
863,Обычный
888,Обычный
889,Обычный
890,Обычный
891,Обычный
892,Обычный
893,Обычный
894,Хороший
895,Хороший
896,Хороший
897,Хороший
898,Обычный
899,Хороший
900,Хороший
901,Хороший
902,Хороший
903,Хороший
912,Обычный
913,Обычный
914,Обычный
915,Обычный
916,Обычный
917,Обычный
918,Обычный
919,Обычный
920,Хороший
921,Хороший
922,Хороший
923,Хороший
924,Хороший
925,Хороший
926,Хороший
927,Хороший
960,Плохой
961,Обычный
962,Обычный
963,Обычный
964,Обычный
965,Обычный
966,Обычный
967,Обычный
992,Обычный
993,Обычный
994,Обычный
995,Обычный
996,Обычный
997,Обычный
998,Обычный
999,Обычный
1000,Плохой
1001,Плохой
1002,Плохой
1003,Плохой
1004,Плохой
1005,Плохой
1006,Плохой
1007,Плохой
1016,Хороший
1017,Хороший
1018,Хороший
1019,Хороший
1020,Обычный
1021,Обычный
1022,Хороший
1023,Хороший
1080,Обычный
1081,Обычный
1082,Обычный
1083,Обычный
1084,Обычный
1085,Обычный
1086,Обычный
1087,Обычный
1096,Обычный
1097,Обычный
1098,Обычный
1099,Обычный
1100,Обычный
1101,Обычный
1102,Обычный
1103,Обычный
1112,Обычный
1113,Обычный
1114,Обычный
1115,Обычный
1116,Обычный
1117,Обычный
1118,Обычный
1119,Обычный
1144,Обычный
1145,Обычный
1146,Обычный
1147,Обычный
1148,Обычный
1149,Обычный
1150,Обычный
1151,Обычный
1152,Плохой
1153,Плохой
1154,Обычный
1155,Обычный
1156,Обычный
1157,Обычный
1158,Плохой
1159,Плохой
1176,Плохой
1177,Плохой
1178,Плохой
1179,Плохой
1180,Плохой
1181,Плохой
1182,Плохой
1183,Плохой
1216,Хороший
1217,Хороший
1218,Хороший
1219,Хороший
1220,Хороший
1221,Хороший
1222,Хороший
1223,Хороший
1224,Хороший
1225,Хороший
1226,Хороший
1227,Обычный
1228,Хороший
1229,Плохой
1230,Хороший
1231,Плохой
1240,Обычный
