iter	Passed	Remaining
0	25	7187
1	55	7638
2	86	7921
3	111	7643
4	138	7540
5	166	7535
6	196	7590
7	231	7801
8	262	7835
9	292	7843
10	322	7834
11	353	7844
12	388	7914
13	419	7912
14	455	7986
15	487	7988
16	520	7997
17	555	8021
18	587	8011
19	622	8032
20	655	8024
21	687	8001
22	725	8039
23	757	8014
24	793	8027
25	823	7979
26	857	7970
27	890	7954
28	923	7930
29	955	7901
30	987	7865
31	1018	7832
32	1050	7796
33	1083	7778
34	1117	7759
35	1153	7752
36	1192	7768
37	1223	7726
38	1257	7707
39	1284	7644
40	1320	7631
41	1353	7606
42	1385	7573
43	1418	7544
44	1446	7490
45	1475	7439
46	1506	7406
47	1540	7383
48	1574	7356
49	1610	7345
50	1640	7300
51	1671	7265
52	1701	7221
53	1727	7167
54	1761	7143
55	1787	7084
56	1824	7072
57	1859	7054
58	1893	7028
59	1927	7002
60	1958	6968
61	1992	6943
62	2024	6910
63	2054	6869
64	2083	6829
65	2116	6797
66	2152	6779
67	2185	6750
68	2218	6718
69	2251	6688
70	2275	6632
71	2300	6581
72	2328	6538
73	2361	6509
74	2393	6478
75	2427	6452
76	2460	6421
77	2487	6378
78	2521	6352
79	2553	6320
80	2585	6289
81	2615	6251
82	2646	6217
83	2674	6175
84	2705	6143
85	2736	6109
86	2768	6077
87	2796	6038
88	2830	6011
89	2862	5979
90	2896	5952
91	2929	5922
92	2964	5896
93	2993	5859
94	3024	5825
95	3050	5783
96	3080	5747
97	3104	5702
98	3142	5681
99	3171	5644
100	3204	5615
101	3234	5580
102	3261	5542
103	3294	5512
104	3331	5488
105	3367	5464
106	3397	5429
107	3429	5397
108	3460	5365
109	3489	5329
110	3524	5303
111	3554	5268
112	3585	5235
113	3616	5202
114	3645	5166
115	3675	5132
116	3711	5107
117	3743	5076
118	3775	5044
119	3805	5010
120	3835	4976
121	3868	4945
122	3899	4914
123	3933	4884
124	3966	4854
125	3998	4823
126	4026	4787
127	4055	4752
128	4091	4725
129	4123	4694
130	4158	4666
131	4190	4635
132	4223	4604
133	4253	4571
134	4286	4540
135	4317	4508
136	4348	4475
137	4379	4442
138	4410	4410
139	4447	4383
140	4476	4349
141	4507	4317
142	4541	4287
143	4570	4253
144	4602	4221
145	4630	4186
146	4659	4152
147	4685	4115
148	4719	4085
149	4749	4053
150	4777	4018
151	4806	3984
152	4838	3953
153	4871	3922
154	4899	3888
155	4936	3860
156	4967	3828
157	5000	3798
158	5032	3766
159	5052	3726
160	5082	3693
161	5108	3658
162	5135	3623
163	5164	3590
164	5192	3555
165	5227	3526
166	5258	3495
167	5290	3464
168	5325	3434
169	5351	3399
170	5381	3367
171	5414	3336
172	5442	3303
173	5477	3274
174	5510	3243
175	5546	3214
176	5575	3181
177	5610	3151
178	5642	3120
179	5672	3088
180	5704	3056
181	5736	3025
182	5768	2994
183	5800	2963
184	5832	2932
185	5865	2901
186	5899	2870
187	5932	2840
188	5960	2806
189	5991	2774
190	6024	2744
191	6064	2716
192	6098	2685
193	6131	2654
194	6164	2623
195	6200	2593
196	6230	2561
197	6260	2529
198	6291	2497
199	6321	2465
200	6358	2435
201	6396	2406
202	6432	2376
203	6462	2344
204	6493	2312
205	6523	2280
206	6555	2248
207	6590	2217
208	6617	2184
209	6652	2154
210	6688	2123
211	6728	2094
212	6772	2066
213	6805	2035
214	6839	2004
215	6870	1972
216	6899	1939
217	6929	1907
218	6964	1876
219	6997	1844
220	7028	1812
221	7062	1781
222	7097	1750
223	7126	1718
224	7156	1685
225	7189	1654
226	7220	1622
227	7253	1590
228	7283	1558
229	7318	1527
230	7348	1495
231	7381	1463
232	7415	1432
233	7448	1400
234	7479	1368
235	7512	1336
236	7544	1305
237	7575	1273
238	7608	1241
239	7643	1210
240	7677	1178
241	7710	1147
242	7744	1115
243	7778	1083
244	7809	1051
245	7842	1020
246	7872	988
247	7902	955
248	7935	924
249	7970	892
250	8004	861
251	8039	829
252	8069	797
253	8099	765
254	8136	733
255	8171	702
256	8203	670
257	8240	638
258	8273	606
259	8305	574
260	8337	543
261	8368	511
262	8400	479
263	8431	447
264	8463	415
265	8495	383
266	8533	351
267	8565	319
268	8595	287
269	8625	255
270	8656	223
271	8686	191
272	8718	159
273	8745	127
274	8781	95
275	8813	63
276	8843	31
277	8874	0
